Date;Open;High;Low;Close;Volume;Dividends;Stock Splits;Capital Gains;Daily Return
2020-07-13 00:00:00-04:00;273,87;276,06;268,76;269,27;3657900;0,00;0,00;0,00;-0,90%
2020-07-14 00:00:00-04:00;267,99;273,14;266,91;272,87;4053100;0,00;0,00;0,00;1,34%
2020-07-15 00:00:00-04:00;275,81;276,34;273,17;275,29;6601400;0,00;0,00;0,00;0,89%
2020-07-16 00:00:00-04:00;273,59;274,81;272,98;274,49;3082900;0,00;0,00;0,00;-0,29%
2020-07-17 00:00:00-04:00;275,38;275,96;273,54;275,22;2246000;0,00;0,00;0,00;0,26%
2020-07-20 00:00:00-04:00;275,01;278,13;274,33;277,51;2539900;0,00;0,00;0,00;0,83%
2020-07-21 00:00:00-04:00;279,23;279,69;277,18;278,09;3305500;0,00;0,00;0,00;0,21%
2020-07-22 00:00:00-04:00;277,70;279,88;277,60;279,67;4121100;0,00;0,00;0,00;0,57%
2020-07-23 00:00:00-04:00;279,30;279,94;275,06;276,33;3487100;0,00;0,00;0,00;-1,20%
2020-07-24 00:00:00-04:00;274,58;275,46;273,12;274,54;2851000;0,00;0,00;0,00;-0,65%
2020-07-27 00:00:00-04:00;275,15;276,68;274,46;276,54;2253300;0,00;0,00;0,00;0,73%
2020-07-28 00:00:00-04:00;275,80;276,88;274,51;274,83;3135600;0,00;0,00;0,00;-0,62%
2020-07-29 00:00:00-04:00;275,64;278,67;275,54;278,15;2370800;0,00;0,00;0,00;1,21%
2020-07-30 00:00:00-04:00;275,39;277,55;273,47;277,14;2951700;0,00;0,00;0,00;-0,36%
2020-07-31 00:00:00-04:00;278,85;279,45;274,93;279,45;4460300;0,00;0,00;0,00;0,84%
2020-08-03 00:00:00-04:00;280,90;281,99;280,41;281,21;3767700;0,00;0,00;0,00;0,63%
2020-08-04 00:00:00-04:00;280,50;282,40;280,50;282,40;2129200;0,00;0,00;0,00;0,42%
2020-08-05 00:00:00-04:00;283,65;284,39;283,37;284,16;2615100;0,00;0,00;0,00;0,62%
2020-08-06 00:00:00-04:00;283,63;286,15;283,32;286,07;4088200;0,00;0,00;0,00;0,67%
2020-08-07 00:00:00-04:00;285,16;286,44;284,32;286,22;3319600;0,00;0,00;0,00;0,05%
2020-08-10 00:00:00-04:00;286,70;287,28;284,87;287,13;2118200;0,00;0,00;0,00;0,32%
2020-08-11 00:00:00-04:00;288,23;288,79;284,08;284,81;3571200;0,00;0,00;0,00;-0,81%
2020-08-12 00:00:00-04:00;287,04;289,43;287,00;288,71;2947400;0,00;0,00;0,00;1,37%
2020-08-13 00:00:00-04:00;288,02;289,40;287,33;288,22;4074200;0,00;0,00;0,00;-0,17%
2020-08-14 00:00:00-04:00;287,88;288,69;287,13;288,22;2097600;0,00;0,00;0,00;0,00%
2020-08-17 00:00:00-04:00;289,08;289,48;288,76;289,15;2183400;0,00;0,00;0,00;0,32%
2020-08-18 00:00:00-04:00;289,54;290,12;288,00;289,75;2415800;0,00;0,00;0,00;0,21%
2020-08-19 00:00:00-04:00;290,12;290,80;288,03;288,52;2498300;0,00;0,00;0,00;-0,42%
2020-08-20 00:00:00-04:00;286,91;289,86;286,83;289,44;2409300;0,00;0,00;0,00;0,32%
2020-08-21 00:00:00-04:00;289,12;290,63;288,83;290,47;2316200;0,00;0,00;0,00;0,36%
2020-08-24 00:00:00-04:00;292,73;293,49;291,81;293,42;2349600;0,00;0,00;0,00;1,02%
2020-08-25 00:00:00-04:00;293,97;294,50;292,86;294,45;2890800;0,00;0,00;0,00;0,35%
2020-08-26 00:00:00-04:00;294,96;297,64;294,49;297,45;2606000;0,00;0,00;0,00;1,02%
2020-08-27 00:00:00-04:00;298,19;299,38;296,56;298,05;2295900;0,00;0,00;0,00;0,20%
2020-08-28 00:00:00-04:00;299,05;300,11;297,94;299,99;3538700;0,00;0,00;0,00;0,65%
2020-08-31 00:00:00-04:00;299,83;300,62;298,73;298,94;5068000;0,00;0,00;0,00;-0,35%
2020-09-01 00:00:00-04:00;299,67;301,80;298,86;301,73;3008000;0,00;0,00;0,00;0,93%
2020-09-02 00:00:00-04:00;303,52;306,99;302,44;306,12;5273100;0,00;0,00;0,00;1,46%
2020-09-03 00:00:00-04:00;304,51;304,98;293,15;295,53;6892000;0,00;0,00;0,00;-3,46%
2020-09-04 00:00:00-04:00;295,91;297,61;285,79;293,16;5133900;0,00;0,00;0,00;-0,80%
2020-09-08 00:00:00-04:00;288,07;289,22;284,81;285,11;4278300;0,00;0,00;0,00;-2,75%
2020-09-09 00:00:00-04:00;288,81;293,01;288,01;290,73;3339800;0,00;0,00;0,00;1,97%
2020-09-10 00:00:00-04:00;292,44;293,06;284,78;285,65;3589000;0,00;0,00;0,00;-1,75%
2020-09-11 00:00:00-04:00;287,32;288,29;283,24;285,86;3690100;0,00;0,00;0,00;0,07%
2020-09-14 00:00:00-04:00;288,75;291,23;288,31;289,58;3056100;0,00;0,00;0,00;1,30%
2020-09-15 00:00:00-04:00;291,90;292,64;290,09;291,07;2570900;0,00;0,00;0,00;0,51%
2020-09-16 00:00:00-04:00;292,22;293,50;289,64;289,89;2313400;0,00;0,00;0,00;-0,40%
2020-09-17 00:00:00-04:00;285,40;288,93;284,91;287,36;2848300;0,00;0,00;0,00;-0,87%
2020-09-18 00:00:00-04:00;288,15;288,19;281,74;284,02;3420800;0,00;0,00;0,00;-1,16%
2020-09-21 00:00:00-04:00;279,80;280,99;276,41;280,94;4536800;0,00;0,00;0,00;-1,09%
2020-09-22 00:00:00-04:00;282,26;284,24;279,99;283,78;2741500;0,00;0,00;0,00;1,01%
2020-09-23 00:00:00-04:00;284,28;284,53;276,73;277,20;2755800;0,00;0,00;0,00;-2,32%
2020-09-24 00:00:00-04:00;275,93;280,72;274,74;277,96;3130700;0,00;0,00;0,00;0,28%
2020-09-25 00:00:00-04:00;277,11;283,12;276,31;282,42;2683800;0,00;0,00;0,00;1,60%
2020-09-28 00:00:00-04:00;286,27;287,76;285,35;287,15;2437900;0,00;0,00;0,00;1,68%
2020-09-29 00:00:00-04:00;286,95;287,58;284,90;285,51;2303900;1,31;0,00;0,00;-0,57%
2020-09-30 00:00:00-04:00;286,20;290,61;286,02;287,71;4304500;0,00;0,00;0,00;0,77%
2020-10-01 00:00:00-04:00;290,05;290,94;287,81;289,53;3005700;0,00;0,00;0,00;0,63%
2020-10-02 00:00:00-04:00;284,97;288,58;284,49;286,84;3125100;0,00;0,00;0,00;-0,93%
2020-10-05 00:00:00-04:00;288,68;292,05;288,68;291,85;2364500;0,00;0,00;0,00;1,75%
2020-10-06 00:00:00-04:00;292,01;293,94;287,27;287,77;3389800;0,00;0,00;0,00;-1,40%
2020-10-07 00:00:00-04:00;290,47;293,47;290,47;292,71;1707800;0,00;0,00;0,00;1,72%
2020-10-08 00:00:00-04:00;294,54;295,38;293,69;295,30;1731700;0,00;0,00;0,00;0,89%
2020-10-09 00:00:00-04:00;296,89;298,41;296,31;297,93;2794100;0,00;0,00;0,00;0,89%
2020-10-12 00:00:00-04:00;300,32;304,14;299,87;302,73;2194300;0,00;0,00;0,00;1,61%
2020-10-13 00:00:00-04:00;302,66;302,74;299,92;300,80;2229700;0,00;0,00;0,00;-0,64%
2020-10-14 00:00:00-04:00;301,33;302,34;298,26;298,92;1902100;0,00;0,00;0,00;-0,62%
2020-10-15 00:00:00-04:00;295,24;298,98;294,80;298,56;2481700;0,00;0,00;0,00;-0,12%
2020-10-16 00:00:00-04:00;299,86;301,32;298,23;298,31;1669600;0,00;0,00;0,00;-0,08%
2020-10-19 00:00:00-04:00;299,54;300,09;293,02;293,80;2229600;0,00;0,00;0,00;-1,51%
2020-10-20 00:00:00-04:00;295,03;298,01;294,37;294,96;3066600;0,00;0,00;0,00;0,39%
2020-10-21 00:00:00-04:00;294,96;296,94;294,20;294,43;2607700;0,00;0,00;0,00;-0,18%
2020-10-22 00:00:00-04:00;294,64;296,60;292,70;296,05;2362400;0,00;0,00;0,00;0,55%
2020-10-23 00:00:00-04:00;297,24;297,24;294,80;297,06;1429300;0,00;0,00;0,00;0,34%
2020-10-26 00:00:00-04:00;293,93;294,65;288,37;291,59;3335800;0,00;0,00;0,00;-1,84%
2020-10-27 00:00:00-04:00;291,94;292,21;290,43;290,62;2196100;0,00;0,00;0,00;-0,33%
2020-10-28 00:00:00-04:00;285,35;285,92;280,20;280,62;5650500;0,00;0,00;0,00;-3,44%
2020-10-29 00:00:00-04:00;280,85;286,40;279,33;283,57;5365200;0,00;0,00;0,00;1,05%
2020-10-30 00:00:00-04:00;282,01;283,23;277,16;280,38;5892100;0,00;0,00;0,00;-1,12%
2020-11-02 00:00:00-05:00;283,70;285,52;281,14;283,65;4080400;0,00;0,00;0,00;1,16%
2020-11-03 00:00:00-05:00;286,70;290,60;286,25;288,65;3378300;0,00;0,00;0,00;1,76%
2020-11-04 00:00:00-05:00;292,89;298,93;291,77;295,15;5750200;0,00;0,00;0,00;2,25%
2020-11-05 00:00:00-05:00;300,14;302,58;299,74;300,93;3950300;0,00;0,00;0,00;1,96%
2020-11-06 00:00:00-05:00;300,60;301,99;298,72;300,89;3640600;0,00;0,00;0,00;-0,01%
2020-11-09 00:00:00-05:00;312,69;313,47;304,19;304,64;8097300;0,00;0,00;0,00;1,25%
2020-11-10 00:00:00-05:00;303,72;305,15;301,18;304,25;4120800;0,00;0,00;0,00;-0,13%
2020-11-11 00:00:00-05:00;306,19;307,20;305,03;306,39;2773500;0,00;0,00;0,00;0,70%
2020-11-12 00:00:00-05:00;305,56;306,21;301,81;303,56;2532700;0,00;0,00;0,00;-0,92%
2020-11-13 00:00:00-05:00;305,29;308,36;304,76;307,68;1996100;0,00;0,00;0,00;1,36%
2020-11-16 00:00:00-05:00;310,15;311,53;308,99;311,41;3018800;0,00;0,00;0,00;1,21%
2020-11-17 00:00:00-05:00;309,29;310,95;307,91;309,86;3052100;0,00;0,00;0,00;-0,50%
2020-11-18 00:00:00-05:00;310,13;310,61;306,07;306,10;2647800;0,00;0,00;0,00;-1,21%
2020-11-19 00:00:00-05:00;305,58;307,76;304,32;307,38;2962200;0,00;0,00;0,00;0,42%
2020-11-20 00:00:00-05:00;307,12;307,35;305,24;305,33;3516800;0,00;0,00;0,00;-0,67%
2020-11-23 00:00:00-05:00;307,00;308,23;304,92;307,13;2222600;0,00;0,00;0,00;0,59%
2020-11-24 00:00:00-05:00;309,56;312,58;308,70;312,11;2659700;0,00;0,00;0,00;1,62%
2020-11-25 00:00:00-05:00;312,04;312,04;310,62;311,59;2256900;0,00;0,00;0,00;-0,16%
2020-11-27 00:00:00-05:00;312,62;312,92;311,58;312,48;984700;0,00;0,00;0,00;0,29%
2020-11-30 00:00:00-05:00;311,79;312,00;308,65;311,08;4175700;0,00;0,00;0,00;-0,45%
2020-12-01 00:00:00-05:00;314,14;315,90;313,58;314,50;3224200;0,00;0,00;0,00;1,10%
2020-12-02 00:00:00-05:00;313,49;315,26;312,96;315,16;2270300;0,00;0,00;0,00;0,21%
2020-12-03 00:00:00-05:00;315,07;316,37;314,11;315,07;2851100;0,00;0,00;0,00;-0,03%
2020-12-04 00:00:00-05:00;315,62;317,81;315,57;317,78;2907000;0,00;0,00;0,00;0,86%
2020-12-07 00:00:00-05:00;317,09;317,61;316,00;317,19;1943100;0,00;0,00;0,00;-0,19%
2020-12-08 00:00:00-05:00;315,99;318,61;315,95;318,11;1948200;0,00;0,00;0,00;0,29%
2020-12-09 00:00:00-05:00;318,70;318,83;314,46;315,28;2545800;0,00;0,00;0,00;-0,89%
2020-12-10 00:00:00-05:00;313,98;316,09;313,13;315,14;2738600;0,00;0,00;0,00;-0,05%
2020-12-11 00:00:00-05:00;313,57;314,97;312,13;314,73;2387900;0,00;0,00;0,00;-0,13%
2020-12-14 00:00:00-05:00;316,80;317,76;313,18;313,29;2654600;0,00;0,00;0,00;-0,46%
2020-12-15 00:00:00-05:00;315,75;317,62;314,44;317,62;2757400;0,00;0,00;0,00;1,38%
2020-12-16 00:00:00-05:00;317,80;318,93;316,99;318,11;2943200;0,00;0,00;0,00;0,15%
2020-12-17 00:00:00-05:00;319,61;320,06;318,86;319,84;2627000;0,00;0,00;0,00;0,54%
2020-12-18 00:00:00-05:00;320,19;320,30;316,74;318,56;6025700;0,00;0,00;0,00;-0,40%
2020-12-21 00:00:00-05:00;314,99;318,31;312,45;317,58;3918100;0,00;0,00;0,00;-0,31%
2020-12-22 00:00:00-05:00;317,82;317,90;315,95;316,95;2371900;1,38;0,00;0,00;-0,20%
2020-12-23 00:00:00-05:00;317,89;319,02;317,09;317,20;3682200;0,00;0,00;0,00;0,08%
2020-12-24 00:00:00-05:00;317,73;318,49;317,17;318,47;1447500;0,00;0,00;0,00;0,40%
2020-12-28 00:00:00-05:00;320,89;321,57;320,28;321,24;2798800;0,00;0,00;0,00;0,87%
2020-12-29 00:00:00-05:00;322,67;322,80;320,08;320,56;2555500;0,00;0,00;0,00;-0,21%
2020-12-30 00:00:00-05:00;321,40;321,99;320,73;321,00;2009100;0,00;0,00;0,00;0,13%
2020-12-31 00:00:00-05:00;320,97;323,36;320,41;322,72;3507000;0,00;0,00;0,00;0,54%
2021-01-04 00:00:00-05:00;323,97;324,04;314,91;318,35;5402600;0,00;0,00;0,00;-1,36%
2021-01-05 00:00:00-05:00;317,76;321,50;317,75;320,44;3299700;0,00;0,00;0,00;0,66%
