Date;Open;High;Low;Close;Volume;Dividends;Stock Splits;Daily Return
2020-06-23 00:00:00-04:00;88,57;90,61;88,15;89,19;212155600;0,00;0,00;2,13%
2020-06-24 00:00:00-04:00;88,82;89,74;87,24;87,62;192623200;0,00;0,00;-1,77%
2020-06-25 00:00:00-04:00;87,77;88,82;87,01;88,78;137522400;0,00;0,00;1,33%
2020-06-26 00:00:00-04:00;88,67;88,90;85,90;86,05;205256800;0,00;0,00;-3,07%
2020-06-29 00:00:00-04:00;85,96;88,13;85,48;88,03;130646000;0,00;0,00;2,30%
2020-06-30 00:00:00-04:00;87,62;89,06;87,60;88,77;140223200;0,00;0,00;0,83%
2020-07-01 00:00:00-04:00;88,85;89,39;88,55;88,60;110737200;0,00;0,00;-0,19%
2020-07-02 00:00:00-04:00;89,51;90,15;88,49;88,60;114041600;0,00;0,00;0,00%
2020-07-06 00:00:00-04:00;90,03;91,44;90,00;90,97;118655600;0,00;0,00;2,68%
2020-07-07 00:00:00-04:00;91,35;92,13;90,58;90,69;112424400;0,00;0,00;-0,31%
2020-07-08 00:00:00-04:00;91,67;92,83;91,58;92,80;117092000;0,00;0,00;2,33%
2020-07-09 00:00:00-04:00;93,70;93,75;92,15;93,20;125642800;0,00;0,00;0,43%
2020-07-10 00:00:00-04:00;92,79;93,42;92,18;93,36;90257200;0,00;0,00;0,17%
2020-07-13 00:00:00-04:00;94,67;97,29;92,72;92,93;191649200;0,00;0,00;-0,46%
2020-07-14 00:00:00-04:00;92,31;94,66;91,38;94,47;170989200;0,00;0,00;1,65%
2020-07-15 00:00:00-04:00;96,35;96,60;93,92;95,12;153198000;0,00;0,00;0,69%
2020-07-16 00:00:00-04:00;93,99;94,81;93,35;93,95;110577600;0,00;0,00;-1,23%
2020-07-17 00:00:00-04:00;94,40;94,56;93,29;93,76;92186800;0,00;0,00;-0,20%
2020-07-20 00:00:00-04:00;93,85;95,87;93,50;95,74;90318000;0,00;0,00;2,11%
2020-07-21 00:00:00-04:00;96,53;96,60;94,16;94,41;103433200;0,00;0,00;-1,38%
2020-07-22 00:00:00-04:00;94,12;95,36;94,03;94,68;89001600;0,00;0,00;0,28%
2020-07-23 00:00:00-04:00;94,41;94,49;89,56;90,37;197004400;0,00;0,00;-4,55%
2020-07-24 00:00:00-04:00;88,56;90,49;86,77;90,15;185438800;0,00;0,00;-0,25%
2020-07-27 00:00:00-04:00;91,21;92,38;90,99;92,28;121214000;0,00;0,00;2,37%
2020-07-28 00:00:00-04:00;91,85;92,03;90,76;90,77;103625600;0,00;0,00;-1,64%
2020-07-29 00:00:00-04:00;91,25;92,69;91,21;92,51;90329200;0,00;0,00;1,92%
2020-07-30 00:00:00-04:00;91,68;93,73;91,27;93,63;158130000;0,00;0,00;1,21%
2020-07-31 00:00:00-04:00;100,14;103,58;98,14;103,43;374336800;0,00;0,00;10,47%
2020-08-03 00:00:00-04:00;105,32;108,66;105,02;106,03;308151200;0,00;0,00;2,52%
2020-08-04 00:00:00-04:00;106,22;107,84;105,50;106,74;173071600;0,00;0,00;0,67%
2020-08-05 00:00:00-04:00;106,46;107,45;105,99;107,13;121776800;0,00;0,00;0,36%
2020-08-06 00:00:00-04:00;107,46;111,36;106,87;110,87;202428800;0,00;0,00;3,49%
2020-08-07 00:00:00-04:00;110,39;110,84;107,55;108,35;198045600;0,20;0,00;-2,27%
2020-08-10 00:00:00-04:00;109,80;110,94;107,26;109,92;212403600;0,00;0,00;1,45%
2020-08-11 00:00:00-04:00;109,18;109,68;106,39;106,65;187902400;0,00;0,00;-2,97%
2020-08-12 00:00:00-04:00;107,75;110,45;107,55;110,20;165598000;0,00;0,00;3,32%
2020-08-13 00:00:00-04:00;111,58;113,15;111,09;112,15;210082000;0,00;0,00;1,77%
2020-08-14 00:00:00-04:00;111,97;112,14;110,23;112,05;165565200;0,00;0,00;-0,09%
2020-08-17 00:00:00-04:00;113,17;113,20;111,12;111,75;119561600;0,00;0,00;-0,26%
2020-08-18 00:00:00-04:00;111,50;113,11;111,17;112,68;105633600;0,00;0,00;0,83%
2020-08-19 00:00:00-04:00;113,09;114,24;112,73;112,83;145538000;0,00;0,00;0,13%
2020-08-20 00:00:00-04:00;112,87;115,44;112,85;115,33;126907200;0,00;0,00;2,22%
2020-08-21 00:00:00-04:00;116,29;121,76;116,28;121,27;338054800;0,00;0,00;5,15%
2020-08-24 00:00:00-04:00;125,49;125,58;120,85;122,72;345937600;0,00;0,00;1,20%
2020-08-25 00:00:00-04:00;121,59;122,06;119,99;121,72;211495600;0,00;0,00;-0,82%
2020-08-26 00:00:00-04:00;123,04;123,83;121,97;123,37;163022400;0,00;0,00;1,36%
2020-08-27 00:00:00-04:00;123,98;124,31;120,75;121,90;155552400;0,00;0,00;-1,20%
2020-08-28 00:00:00-04:00;122,87;123,29;121,48;121,70;187630000;0,00;0,00;-0,16%
2020-08-31 00:00:00-04:00;124,40;127,74;122,86;125,83;225702700;0,00;4,00;3,39%
2020-09-01 00:00:00-04:00;129,45;131,44;127,28;130,84;151948100;0,00;0,00;3,98%
2020-09-02 00:00:00-04:00;134,16;134,54;123,84;128,13;200119000;0,00;0,00;-2,07%
2020-09-03 00:00:00-04:00;123,75;125,63;117,50;117,87;257599600;0,00;0,00;-8,01%
2020-09-04 00:00:00-04:00;117,08;120,62;108,13;117,95;332607200;0,00;0,00;0,07%
2020-09-08 00:00:00-04:00;111,11;116,03;109,87;110,01;231366600;0,00;0,00;-6,73%
2020-09-09 00:00:00-04:00;114,34;116,17;112,39;114,40;176940500;0,00;0,00;3,99%
2020-09-10 00:00:00-04:00;117,36;117,50;109,70;110,66;182274400;0,00;0,00;-3,26%
2020-09-11 00:00:00-04:00;111,72;112,36;107,26;109,21;180860300;0,00;0,00;-1,31%
2020-09-14 00:00:00-04:00;111,86;113,04;109,99;112,49;140150100;0,00;0,00;3,00%
2020-09-15 00:00:00-04:00;115,38;115,87;110,78;112,66;184642000;0,00;0,00;0,16%
2020-09-16 00:00:00-04:00;112,36;113,11;109,25;109,34;154679000;0,00;0,00;-2,95%
2020-09-17 00:00:00-04:00;106,99;109,41;106,00;107,59;178011000;0,00;0,00;-1,60%
2020-09-18 00:00:00-04:00;107,65;108,12;103,45;104,18;287104900;0,00;0,00;-3,17%
2020-09-21 00:00:00-04:00;101,94;107,45;100,53;107,34;195713800;0,00;0,00;3,03%
2020-09-22 00:00:00-04:00;109,87;110,05;106,44;109,03;183055400;0,00;0,00;1,57%
2020-09-23 00:00:00-04:00;108,84;109,32;104,11;104,45;150718700;0,00;0,00;-4,19%
2020-09-24 00:00:00-04:00;102,55;107,50;102,39;105,53;167743300;0,00;0,00;1,03%
2020-09-25 00:00:00-04:00;105,73;109,64;104,99;109,48;149981400;0,00;0,00;3,75%
2020-09-28 00:00:00-04:00;112,15;112,45;109,97;112,10;137672400;0,00;0,00;2,39%
2020-09-29 00:00:00-04:00;111,70;112,44;110,74;111,25;99382200;0,00;0,00;-0,76%
2020-09-30 00:00:00-04:00;110,96;114,34;110,79;112,93;142675200;0,00;0,00;1,51%
2020-10-01 00:00:00-04:00;114,71;114,79;112,95;113,88;116120400;0,00;0,00;0,85%
